Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa 
Los Lagos,10,Calbuco,10102,36744,4,5,5,5,5,5,7,19.1
Los Lagos,10,Castro,10201,47607,-,-,-,4,6,7,7,14.7
Los Lagos,10,Chaiten,10401,5020,-,-,-,-,-,-,1,19.9
Los Lagos,10,Chonchi,10203,16013,-,-,-,-,-,-,-,0.0
Los Lagos,10,Cochamo,10103,4006,-,-,-,-,-,-,-,0.0
Los Lagos,10,Curaco de Velez,10204,4066,-,-,-,-,-,-,-,0.0
Los Lagos,10,Dalcahue,10205,15069,-,-,-,-,-,-,-,0.0
Los Lagos,10,Fresia,10104,12656,-,-,-,-,-,-,-,0.0
Los Lagos,10,Frutillar,10105,20223,-,-,-,-,-,-,5,24.7
Los Lagos,10,Futaleufu,10402,2806,-,-,-,-,-,-,-,0.0
Los Lagos,10,Hualaihue,10403,9525,-,-,-,-,-,-,3,31.5
Los Lagos,10,Llanquihue,10107,18621,-,-,-,-,-,-,3,16.1
Los Lagos,10,Los Muermos,10106,17817,-,-,-,-,-,-,1,5.6
Los Lagos,10,Maullin,10108,14894,-,-,-,-,-,-,1,6.7
Los Lagos,10,Osorno,10301,173410,66,120,163,190,207,220,232,133.8
Los Lagos,10,Palena,10404,1827,-,-,-,-,-,-,-,0.0
Los Lagos,10,Puerto Montt,10101,269398,34,44,25,35,37,39,68,25.2
Los Lagos,10,Puerto Octay,10302,9192,-,-,-,-,-,-,1,10.9
Los Lagos,10,Puerto Varas,10109,48620,-,-,-,4,-,-,6,12.3
Los Lagos,10,Puqueldon,10206,4201,-,-,-,-,-,-,-,0.0
Los Lagos,10,Purranque,10303,21080,-,-,5,5,11,16,16,75.9
Los Lagos,10,Puyehue,10304,11787,-,-,-,-,-,-,2,17.0
Los Lagos,10,Queilen,10207,5543,-,-,-,-,-,-,-,0.0
Los Lagos,10,Quellon,10208,29309,-,-,-,-,-,-,-,0.0
Los Lagos,10,Quemchi,10209,8783,-,-,-,-,-,-,-,0.0
Los Lagos,10,Quinchao,10210,8298,-,-,-,-,-,-,1,12.1
Los Lagos,10,Rio Negro,10305,14275,-,-,-,-,-,-,3,21.0
Los Lagos,10,San Juan de la Costa,10306,7639,-,-,-,7,11,11,14,183.3
Los Lagos,10,San Pablo,10307,10553,-,-,-,-,6,6,6,56.9
Aisen,11,Aisen,11201,25002,-,-,4,5,4,4,3,16.0
Aisen,11,Chile Chico,11401,5121,-,-,-,-,-,-,1,19.5
Aisen,11,Cisnes,11202,5828,-,-,-,-,-,-,-,0.0
Aisen,11,Cochrane,11301,3685,-,-,-,-,-,-,-,0.0
Aisen,11,Coyhaique,,61210,-,-,-,-,-,-,2,1.6
Aisen,11,Guaitecas,11203,1599,-,-,-,-,-,-,-,0.0
Aisen,11,Lago Verde,11102,920,-,-,-,-,-,-,-,0.0
Aisen,11,OHiggins,,661,-,-,-,-,-,-,-,0.0
Aisen,11,Rio Ibanez,11402,2699,-,-,-,-,-,-,-,0.0
Aisen,11,Tortel,11303,572,-,-,-,-,-,-,1,174.8
Magallanes y la Antartica,12,Antartica,12202,137,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,5,6,6,10,11,13,18,907.7
Magallanes y la Antartica,12,Laguna Blanca,12102,264,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12,Natales,12401,23782,-,4,5,5,5,6,6,25.2
Magallanes y la Antartica,12,Porvenir,12301,7323,-,-,-,-,-,-,4,54.6
Magallanes y la Antartica,12,Primavera,12302,694,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,29,87,143,203,207,299,387,272.6
Magallanes y la Antartica,12,Rio Verde,12103,211,-,-,-,-,-,-,-,0.0
Magallanes y la Antartica,12,San Gregorio,12104,681,-,-,-,-,-,-,-,0.0
